"","Pop","Sibship","LT50_hi","LT50_lo","Q10","Lat","LT50_int_sq","LT50_int_orth","raw.plast","dstar","adj.plast"
"1","BMR","Aug_BMR1-C2",36.4607353349844,36.5062473544194,-0.0883728532718064,38.316375,1332.70609590205,-1768267.88765964,-0.0455120194349803,-0.567589026782143,-0.0318649976570266
"2","BMR","Aug_BMR2-A1",36.1843119217851,35.6616881762286,1.01480338943015,38.316375,1271.75600357856,-1687396.95081399,0.52262374555653,-0.129165099080309,0.406558930044808
"3","BMR","Aug_BMR2-A2B",36.339910988532,35.4027096229698,1.81980847681996,38.316375,1253.35184864832,-1662977.61110581,0.937201365562281,0.245637233616643,0.78136126274176
"4","BMR","Aug_BMR2-A3",35.6241872524114,35.7099901934993,-0.16660765259782,38.316375,1275.20339961981,-1691971.08851295,-0.0858029410878771,-0.73017330805403,-0.194449278928913
"5","BMR","Aug_BMR2-A4",36.3070888021026,35.3388293482403,1.88011544439286,38.316375,1248.83285970405,-1656981.64327982,0.968259453862323,0.26688425359169,0.802608282716807
"6","BMR","Aug_BMR2-B2",35.237759563651,35.9471998820009,-1.37755401621334,38.316375,1292.20117935652,-1714524.3975709,-0.70944031834987,-1.31737877466606,-0.781654745540944
"7","BMR","Aug_BMR2-C1",36.6434869048641,35.6275565654371,1.97268027073201,38.316375,1269.32278682342,-1684168.46524973,1.01593033942699,0.358899382621175,0.894623411746292
"8","BMR","Aug_BMR2-C2",36.9411555177871,36.1161839903993,1.60188646094712,38.316375,1304.37874602838,-1730682.06317549,0.824971527387767,0.242986538559882,0.778710567684999
"9","BMR","Aug_BMR3-A1",36.1345856622484,35.4031333869994,1.42029568009511,38.316375,1253.38185361767,-1663017.42285017,0.731452275248984,0.0399532272101679,0.575677256335285
"10","BMR","Aug_BMR3-C2",36.3579697501928,35.665129725757,1.34532043579762,38.316375,1272.00147835508,-1687722.65618945,0.692840024435775,0.0415797510630833,0.5773037801882
"11","BMR","Aug_BMR5-C3",36.6172660564484,36.0828539968918,1.03769331952737,38.316375,1301.97235256101,-1727489.16735561,0.534412059556594,-0.0526919248447942,0.483032104280323
"12","BMR","Aug_BMR5-C4",37.0316733469051,35.470333911831,3.03172705839622,38.316375,1258.14458781679,-1669336.8013528,1.56133943507405,0.880161396820975,1.41588542594609
"13","BMR","Feb_BMR1-A4",36.3579376980882,35.0776812404704,2.48593486916059,38.316375,1230.44372120805,-1632582.23033427,1.2802564576177,0.538772758454063,1.07449678757918
"14","BMR","Feb_BMR1-B2",35.8046125878273,35.1680685839507,1.23600777451767,38.316375,1236.79304792546,-1641006.75987421,0.636544003876601,-0.0910575320315663,0.444666497093551
"15","BMR","Feb_BMR1-B4",36.4209939936654,35.7110295337666,1.37857176679369,38.316375,1275.27763036155,-1692069.58071768,0.70996445989875,0.065753720273259,0.601477749398376
"16","BMR","Feb_BMR1-C4",36.1644731582507,35.5703918934208,1.15355585403862,38.316375,1265.25277945153,-1678768.22302275,0.594081264829889,-0.0717293427414142,0.463994686383703
"17","BMR","Feb_BMR4-A3",36.5677964809142,36.4795569172566,0.171338958558354,38.316375,1330.75807287937,-1765683.17516337,0.0882395636575524,-0.437936701304519,0.0977873278205978
"18","BMR","Feb_BMR4-B1",36.0597212065939,35.7191206851547,0.661360235804298,38.316375,1275.85558252064,-1692836.42988451,0.340600521439214,-0.30236753663188,0.233356492493237
"19","BMR","Feb_BMR4-B4",36.466234011638,35.868290808975,1.16105476245253,38.316375,1286.5342855572,-1707005.34436528,0.597943202663053,-0.0221145238065153,0.513609505318602
"20","BMR","Feb_BMR6-A1B",36.6910519086063,36.1343559252804,1.08096307441923,38.316375,1305.69167813484,-1732424.11223046,0.556695983325902,-0.0224980642377186,0.513225964887398
"21","BMR","Feb_BMR6-A2B",36.4132326549351,35.6218377018442,1.53668922930272,38.316375,1268.91532125653,-1683627.82426898,0.791394953090901,0.133485663158168,0.669209692283285
"22","BMR","Feb_BMR6-B1B",36.7104902384919,35.2329549186832,2.86900062098769,38.316375,1241.36111230196,-1647067.84255331,1.47753531980866,0.759899368208247,1.29562339733336
"23","BMR","Feb_BMR6-B4B",35.924819776029,35.6378422863419,0.557237844052711,38.316375,1270.05580282618,-1685141.05906814,0.286977489687146,-0.368473732044019,0.167250297081097
"24","BMR","Feb_BMR6-C2B",36.4313215718565,36.1660101975275,0.515167717143776,38.316375,1307.98029360766,-1735460.73570141,0.265311374329045,-0.309021043739253,0.226702985385864
"25","BMR","Feb_BMR1-A1",36.1304762157382,35.5796236768336,1.06961658039724,38.316375,1265.9096209851,-1679639.74561143,0.550852538904579,-0.113540202851207,0.42218382627391
"26","PTD","Aug_PTD2-A2",38.317655638591,37.7034294279168,1.19267225373639,34.002089,1421.5485906259,-1886147.57529449,0.614226210674239,0.276018718138662,0.811742747263779
"27","PTD","Aug_PTD2-B3",37.8590611930573,37.2609404276763,1.16139954442918,34.002089,1388.37768155484,-1842135.1146831,0.598120765381026,0.191953486623465,0.727677515748582
"28","PTD","Aug_PTD2-B4",37.9863744769243,37.7742673115738,0.41185857349608,34.002089,1426.89527092624,-1893241.76049473,0.212107165350481,-0.115220672714282,0.420503356410835
"29","PTD","Aug_PTD2-C4",37.9565036018072,37.5989586101513,0.694262119720276,34.002089,1413.68168856787,-1875709.46122753,0.357544991655942,0.00329232186642292,0.53901635099154
"30","PTD","Aug_PTD3-B1",38.3978336433849,37.8363809159706,1.09019947070732,34.002089,1431.59172081842,-1899473.19458697,0.56145272741427,0.243664623159809,0.779388652284926
